Judul_Lagu;Tokens
 shape of you  ed sheeran;['shape', 'of', 'you', 'ed', 'sheeran']
 bohemian rhapsody  queen;['bohemian', 'rhapsody', 'queen']
 billie jean  michael jackson;['billie', 'jean', 'michael', 'jackson']
 hotel california  eagles;['hotel', 'california', 'eagles']
 someone like you  adele;['someone', 'like', 'you', 'adele']
 imagine  john lennon;['imagine', 'john', 'lennon']
 hey jude  the beatles;['hey', 'jude', 'the', 'beatles']
 despacito  luis fonsi ft daddy yankee;['despacito', 'luis', 'fonsi', 'ft', 'daddy', 'yankee']
 like a rolling stone  bob dylan;['like', 'a', 'rolling', 'stone', 'bob', 'dylan']
 havana  camila cabello ft young thug;['havana', 'camila', 'cabello', 'ft', 'young', 'thug']
 uptown funk  mark ronson ft bruno mars;['uptown', 'funk', 'mark', 'ronson', 'ft', 'bruno', 'mars']
 smells like teen spirit  nirvana;['smells', 'like', 'teen', 'spirit', 'nirvana']
 rolling in the deep  adele;['rolling', 'in', 'the', 'deep', 'adele']
 stairway to heaven  led zeppelin;['stairway', 'to', 'heaven', 'led', 'zeppelin']
 thriller  michael jackson;['thriller', 'michael', 'jackson']
 radioactive  imagine dragons;['radioactive', 'imagine', 'dragons']
 wannabe  spice girls;['wannabe', 'spice', 'girls']
 all of me  john legend;['all', 'of', 'me', 'john', 'legend']
 sweet child o mine  guns n roses;['sweet', 'child', 'o', 'mine', 'guns', 'n', 'roses']
 happy  pharrell williams;['happy', 'pharrell', 'williams']
 watermelon sugar  harry styles;['watermelon', 'sugar', 'harry', 'styles']
 i will always love you  whitney houston;['i', 'will', 'always', 'love', 'you', 'whitney', 'houston']
 shallow  lady gaga ft bradley cooper;['shallow', 'lady', 'gaga', 'ft', 'bradley', 'cooper']
 wonderwall  oasis;['wonderwall', 'oasis']
 humble  kendrick lamar;['humble', 'kendrick', 'lamar']
 i want to hold your hand  the beatles;['i', 'want', 'to', 'hold', 'your', 'hand', 'the', 'beatles']
 satisfaction  the rolling stones;['satisfaction', 'the', 'rolling', 'stones']
 let it be  the beatles;['let', 'it', 'be', 'the', 'beatles']
 bad romance  lady gaga;['bad', 'romance', 'lady', 'gaga']
 tears in heaven  eric clapton;['tears', 'in', 'heaven', 'eric', 'clapton']
 black  pearl jam;['black', 'pearl', 'jam']
 say something  justin timberlake ft chris stapleton;['say', 'something', 'justin', 'timberlake', 'ft', 'chris', 'stapleton']
 dont stop believin  journey;['dont', 'stop', 'believin', 'journey']
 dancing queen  abba;['dancing', 'queen', 'abba']
 boogie wonderland  earth wind  fire;['boogie', 'wonderland', 'earth', 'wind', 'fire']
 my heart will go on  celine dion;['my', 'heart', 'will', 'go', 'on', 'celine', 'dion']
 hotline bling  drake;['hotline', 'bling', 'drake']
 wrecking ball  miley cyrus;['wrecking', 'ball', 'miley', 'cyrus']
 every breath you take  the police;['every', 'breath', 'you', 'take', 'the', 'police']
 cant stop the feeling  justin timberlake;['cant', 'stop', 'the', 'feeling', 'justin', 'timberlake']
 the sound of silence  simon  garfunkel;['the', 'sound', 'of', 'silence', 'simon', 'garfunkel']
 superstition  stevie wonder;['superstition', 'stevie', 'wonder']
 seven nation army  the white stripes;['seven', 'nation', 'army', 'the', 'white', 'stripes']
 purple haze  jimi hendrix;['purple', 'haze', 'jimi', 'hendrix']
 shake it off  taylor swift;['shake', 'it', 'off', 'taylor', 'swift']
 sultans of swing  dire straits;['sultans', 'of', 'swing', 'dire', 'straits']
 chandelier  sia;['chandelier', 'sia']
 rocket man  elton john;['rocket', 'man', 'elton', 'john']
 lets dance  david bowie;['lets', 'dance', 'david', 'bowie']
 with or without you  u;['with', 'or', 'without', 'you', 'u']
 sorry  justin bieber;['sorry', 'justin', 'bieber']
 clocks  coldplay;['clocks', 'coldplay']
 cheap thrills  sia ft sean paul;['cheap', 'thrills', 'sia', 'ft', 'sean', 'paul']
 livin on a prayer  bon jovi;['livin', 'on', 'a', 'prayer', 'bon', 'jovi']
 sugar  maroon ;['sugar', 'maroon']
 man in the mirror  michael jackson;['man', 'in', 'the', 'mirror', 'michael', 'jackson']
 sweet caroline  neil diamond;['sweet', 'caroline', 'neil', 'diamond']
 all star  smash mouth;['all', 'star', 'smash', 'mouth']
 hips dont lie  shakira ft wyclef jean;['hips', 'dont', 'lie', 'shakira', 'ft', 'wyclef', 'jean']
 a thousand years  christina perri;['a', 'thousand', 'years', 'christina', 'perri']
 just the way you are  bruno mars;['just', 'the', 'way', 'you', 'are', 'bruno', 'mars']
 bang bang  jessie j ariana grande nicki minaj;['bang', 'bang', 'jessie', 'j', 'ariana', 'grande', 'nicki', 'minaj']
 piano man  billy joel;['piano', 'man', 'billy', 'joel']
 la bamba  ritchie valens;['la', 'bamba', 'ritchie', 'valens']
 fight song  rachel platten;['fight', 'song', 'rachel', 'platten']
 firework  katy perry;['firework', 'katy', 'perry']
 eye of the tiger  survivor;['eye', 'of', 'the', 'tiger', 'survivor']
 counting stars  onerepublic;['counting', 'stars', 'onerepublic']
 perfect  ed sheeran;['perfect', 'ed', 'sheeran']
 blinding lights  the weeknd;['blinding', 'lights', 'the', 'weeknd']
 old town road  lil nas x ft billy ray cyrus;['old', 'town', 'road', 'lil', 'nas', 'x', 'ft', 'billy', 'ray', 'cyrus']
 pumped up kicks  foster the people;['pumped', 'up', 'kicks', 'foster', 'the', 'people']
 titanium  david guetta ft sia;['titanium', 'david', 'guetta', 'ft', 'sia']
 africa  toto;['africa', 'toto']
 let her go  passenger;['let', 'her', 'go', 'passenger']
 royals  lorde;['royals', 'lorde']
 take me to church  hozier;['take', 'me', 'to', 'church', 'hozier']
 sweet home alabama  lynyrd skynyrd;['sweet', 'home', 'alabama', 'lynyrd', 'skynyrd']
 grenade  bruno mars;['grenade', 'bruno', 'mars']
 i gotta feeling  the black eyed peas;['i', 'got', 'ta', 'feeling', 'the', 'black', 'eyed', 'peas']
 bad guy  billie eilish;['bad', 'guy', 'billie', 'eilish']
 im yours  jason mraz;['im', 'yours', 'jason', 'mraz']
 the box  roddy ricch;['the', 'box', 'roddy', 'ricch']
 whats going on  marvin gaye;['whats', 'going', 'on', 'marvin', 'gaye']
 truth hurts  lizzo;['truth', 'hurts', 'lizzo']
 thunder  imagine dragons;['thunder', 'imagine', 'dragons']
 party in the usa  miley cyrus;['party', 'in', 'the', 'usa', 'miley', 'cyrus']
 moves like jagger  maroon  ft christina aguilera;['moves', 'like', 'jagger', 'maroon', 'ft', 'christina', 'aguilera']
 crazy  gnarls barkley;['crazy', 'gnarls', 'barkley']
 ghostbusters  ray parker jr;['ghostbusters', 'ray', 'parker', 'jr']
 sweet dreams are made of this  eurythmics;['sweet', 'dreams', 'are', 'made', 'of', 'this', 'eurythmics']
 sweet child o mine  sheryl crow;['sweet', 'child', 'o', 'mine', 'sheryl', 'crow']
 bad blood  taylor swift ft kendrick lamar;['bad', 'blood', 'taylor', 'swift', 'ft', 'kendrick', 'lamar']
 wap  cardi b ft megan thee stallion;['wap', 'cardi', 'b', 'ft', 'megan', 'thee', 'stallion']
 dance monkey  tones and i;['dance', 'monkey', 'tones', 'and', 'i']
 shape of you  pentatonix;['shape', 'of', 'you', 'pentatonix']
 say you wont let go  james arthur;['say', 'you', 'wont', 'let', 'go', 'james', 'arthur']
 cant help falling in love  elvis presley;['cant', 'help', 'falling', 'in', 'love', 'elvis', 'presley']
 girls just want to have fun  cyndi lauper;['girls', 'just', 'want', 'to', 'have', 'fun', 'cyndi', 'lauper']
 brown eyed girl  van morrison;['brown', 'eyed', 'girl', 'van', 'morrison']
